,name,id,office,position,cars_info,cars_family_info,all_cars_sum_uah_mln,monthly_salary,all_salary,car_years,all_estate,group,group_car,group_flat,group_years
1227,Гончар Віталій Петрович,vulyk_8_124,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,;;,Audi Q7;;,0.67,24758.0,24758.0,2.3,657.0,суди,medium,medium,medium
1240,Гончаров Віталій Васильович,vulyk_25_14,Міністерство внутрішніх справ,начальник умвс україни в миколаївській області,Lexus 570;;;,Honda CR-V;Honda Civic;;,0.43,7202.0,7202.0,4.9,830.0,МВС,low,medium,medium
1251,Гончарук Петро Андрійович,vulyk_8_87,Вищий господарський суд,суддя вищого господарського суду україни,Subaru Tribeca;;,;;,0.18,26039.0,27499.0,0.5,673.0,суди,low,medium,superlow
1253,Гопа Олександр Михайлович,vulyk_21_6,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника гу дфс у закарпатській області,Skoda Superb;;;,Toyota Rav 4;;;;,0.66,7608.0,7608.0,7.3,98.0,митники,medium,superlow,high
1260,Горбань Юрій Олександрович,vulyk_15_102,Загальний місцевий суд,голова тарутинського районного суду одеської області,Toyota Camry;;,;;;,0.17,20857.0,21927.0,0.7,312.0,суди,low,low,superlow
1261,Горбатюк Олег Петрович,vulyk_14_179,Міністерство внутрішніх справ,начальник управління матеріального забезпечення гумвс україни в одеській області,BMW X5;;;,ВАз 21074;;;,0.18,12180.0,15910.0,0.9,539.0,МВС,low,medium,superlow
1276,Гордійчук Віктор Миколайович,vulyk_12_30,Загальний місцевий суд,голова камінь-каширського районного суду волинської області,Volkswagen Jetta;;;,;;,0.06,22226.0,22226.0,0.2,372.0,суди,superlow,low,superlow
1290,Горобинський Микола Олександрович,vulyk_10_106,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник львівської митниці дфс,Mercedes-Benz E 250;;,Mercedes-Benz E 200;Volkswagen Multivan;;;,0.61,17463.0,19463.0,2.6,988.0,митники,medium,medium,medium
1307,Горшков В'ячеслав Миколайович,vulyk_43_130,Адміністративний місцевий суд,суддя херсонського окружного адміністративного суду,;;,Nissan Teana;;,0.25,20679.0,24402.0,0.9,427.0,суди,low,low,superlow
1311,Гошовський Георгій Миколайович,vulyk_20_123,Загальний апеляційний суд,суддя апеляційного суду закарпатської області,Mitsubishi Carisma;;;,;;;,0.07,23405.0,23405.0,0.3,360.0,суди,superlow,low,superlow
1343,Григор'єва Ірина Вікторівна,vulyk_8_167,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mercedes-Benz GL 320 TDI;;,Mercedes-Benz GL 320 TDI;;,0.82,28065.0,33334.0,2.0,334.0,суди,medium,low,medium
1344,Григор'єва Лілія Іванівна,vulyk_56_179,Верховний суд,суддя,;;,Toyota Land Cruiser Prado;Infiniti FX;,0.51,27718.0,31894.0,1.3,494.0,суди,medium,low,superlow
1356,Григорчак Юрій Петрович,vulyk_33_174,Загальний місцевий суд,суддя глибоцького районного суду чернівецької області,Hyundai Tucson;;;,Hyundai IX35;Opel Vectra;;,0.93,15642.0,15642.0,5.0,361.0,суди,medium,low,medium
1357,Григорченко Едуард Іванович,vulyk_41_142,Загальний апеляційний суд,суддя апеляційного суду дніпропетровської області,Renault 5;Opel Kadett;ЛуАЗ 969М;Renault Duster,;;;;,0.15,21320.0,21320.0,0.6,432.0,суди,low,low,superlow
1359,Григоряк Олександр Євгенович,vulyk_34_47,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник дпі у сторожинецькому районі гу дфс у чернівецькій області,Fiat Doblo;;,;;,0.08,4216.0,4216.0,1.5,360.0,митники,superlow,low,superlow
1360,Гридасов Юрій Володимирович,vulyk_31_167,Господарський місцевий суд,суддя господарського суду херсонської області,Volvo XC90;;;,;;,0.56,20593.0,20593.0,2.2,87.0,суди,medium,superlow,medium
1361,Гримич Майя Костянтинівна,vulyk_8_123,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,BMW X5;;,BMW X5;Audi Q7;,2.32,20707.0,112374.0,1.7,529.0,суди,high,medium,superlow
1365,Гринцов Олександр Васильович,vulyk_37_183,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник дпі у м. дружківці гу міндоходів у донецькій області,;;,Mercedes-Benz ML 350;;;;;,0.58,6433.0,12711.0,3.8,137.0,митники,medium,superlow,medium
1366,Гринчишин Сергій Дмитрович,vulyk_10_143,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника митного поста роздільна одеської митниці дфс,ВАЗ 21213;ВАЗ 21213;Toyota Camry,Mazda CX-7;;;;,0.49,1798.0,7271.0,5.6,400.0,митники,low,low,medium
1369,Гринь Олександр Миколайович,vulyk_42_149,Загальний місцевий суд,суддя луцького міськрайонного суду волинської області,Toyota Camry;;;,Toyota Camry;Mazda 3;,0.82,12250.0,49421.0,1.4,0.0,суди,medium,superlow,superlow
1372,Гринюк Роман Миколайович,vulyk_11_178,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника ківерцівської одпі головного управління дфс у волинській області,Lexus LX-470;;,Citroen C3;;;,0.36,4090.0,4090.0,7.4,457.0,митники,low,low,high
1374,Гринів Юрій Олексійович,vulyk_18_185,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник дпі у франківському р-ні м. львова гу міндоходів у львівській області,Subaru Outback;Nissan X-Trail;,Rover 75;Fiat 500;,0.74,2062.0,2657.0,23.3,230.0,митники,medium,superlow,high
1382,Гриценко Ірина Григорівна,vulyk_57_117,Загальний місцевий суд,голова вінницького районного суду вінницької області,Citroen Jumpy;;;,;;;,0.09,20363.0,20363.0,0.4,326.0,суди,superlow,low,superlow
1384,Гриценко Петро Павлович,vulyk_40_2,Загальний місцевий суд,голова путивльського районного суду сумської області,Москвич / АЗЛК 412;Volkswagen Passat;,Chevrolet Cruze;,0.16,20717.0,21405.0,0.6,324.0,суди,low,low,superlow
1390,Гриців Михайло Іванович,vulyk_56_169,Верховний суд,суддя верховного суду україни,Renault Scenic;;,;;,0.09,26495.0,56798.0,0.1,422.0,суди,superlow,low,superlow
1409,Грох Лариса Михайлівна,vulyk_42_118,Загальний апеляційний суд,суддя апеляційного суду хмельницької області,Volkswagen Passat;;;,;;,0.08,19581.0,19581.0,0.3,558.0,суди,superlow,medium,superlow
1416,Грушицький Андрій Ігорович,vulyk_59_174,Загальний апеляційний суд,суддя апеляційного суду волинської області,;;,Toyota Rav 4;BMW 530 D;;,0.65,20268.0,25425.0,2.1,226.0,суди,medium,superlow,medium
1417,Грушицький Андрій Андрійович,vulyk_43_176,Загальний апеляційний суд,суддя апеляційного суду херсонської області,Toyota;;,;;,0.69,21376.0,42825.0,1.3,42.0,суди,medium,superlow,superlow
1423,Губенко Надія Михайлівна,vulyk_8_26,Вищий господарський суд,суддя вищого господарського суду україни,;;,Mazda 3;Toyota Land Cruiser Prado;,0.42,23117.0,28843.0,1.2,371.0,суди,low,low,superlow
1424,Губко Вадим Іванович,vulyk_19_187,Загальний місцевий суд,суддя бершадського районного суду вінницької області,;;,Nissan TIIDA;;,0.1,15102.0,22963.0,0.4,512.0,суди,low,medium,superlow
1444,Гуль Володимир Семенович,vulyk_56_186,Верховний суд,суддя верховного суду україни,Honda CR-V;;,;;,0.16,27822.0,27822.0,0.5,433.0,суди,low,low,superlow
1446,Гулько Борис Іванович,vulyk_8_115,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,голова вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,;;,Honda CR-V;;,0.14,22055.0,22055.0,0.5,350.0,суди,low,low,superlow
1474,Гусаров Сергій Миколайович,vulyk_25_2,Міністерство внутрішніх справ,ректор харківського національного університету внутрішніх справ,Toyota Corolla;;;,Honda CR-V;Toyota Camry;;,0.37,11277.0,13817.0,2.2,926.0,МВС,low,medium,medium
1480,Гутич Петро Федорович,vulyk_21_77,Загальний місцевий суд,голова богородчанського районного суду,ВАЗ 2107;Chery Amulet;;,;;;;,0.07,22889.0,22889.0,0.3,319.0,суди,superlow,low,superlow
1483,Гуцал Лілія Вікторівна,vulyk_55_29,Загальний апеляційний суд,суддя апеляційного суду харківської області,Mercedes-Benz A-Class;,Hyundai Santa FE;;,0.67,20710.0,39362.0,1.4,748.0,суди,medium,medium,superlow
1484,Гуцал Михайло Ігорович,vulyk_56_120,Апеляційний адміністративний суд,суддя харківського апеляційного адміністративного суду,Hyundai Santa FE;;,Mercedes-Benz А;;,0.27,18615.0,39325.0,0.6,826.0,суди,low,medium,superlow
1485,Гуцал Олександр Петрович,vulyk_39_35,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник сумської митниці дфс,;;;;;;;;;;;,Mitsubishi Pajero;Toyota Camry;Acura TL;;,0.3,4365.0,7204.0,3.5,419.0,митники,low,low,medium
1489,Гушилик Світлана Миколаївна,vulyk_51_101,Господарський місцевий суд,суддя,Renault Sandero;;;,Ford Escort;ВАЗ 21150;SsangYong Rexton;Nissan Note;Nissan X-Trail,0.81,16636.0,20804.0,3.2,50.0,суди,medium,superlow,medium
1508,Данилова Мальвіна Володимирівна,vulyk_8_50,Вищий господарський суд,суддя вищого господарського суду україни,Mercedes-Benz E-250;Mercedes-Benz C200;,Mercedes-Benz S 550;Subaru Impreza;,0.55,22806.0,23031.0,2.0,947.0,суди,medium,medium,medium
1516,Данилюк Андрій Іванович,vulyk_37_151,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника артемівської одпі гу міндоходів у донецькій області,Volkswagen Multivan;;,Toyota Land Cruiser;;;;;,0.12,4963.0,5724.0,1.7,473.0,митники,low,low,superlow
1528,Данілін Сергій Вікторович,vulyk_14_96,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник. начальника головного управління дфс в одеській області,;;;,Mercedes-Benz ML 350;;;,0.58,10056.0,13530.0,3.6,0.0,митники,medium,superlow,low
1529,Даніліна Ірина Вікторівна,vulyk_34_100,Міністерство внутрішніх справ,начальник приймальника-розподільника для дітей гумвс україни в харківській області,Lexus GX;;,Toyota Avensis;;,0.6,6871.0,8292.0,6.0,78.0,МВС,medium,superlow,medium
1535,Даценко Микола Васильович,vulyk_57_41,Господарський місцевий суд,суддя,Hyundai IX35;;;,;;;,0.24,21756.0,21756.0,0.9,391.0,суди,low,low,superlow
1561,Дем'яносов Микола Власович,vulyk_8_126,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mercedes-Benz CL 350;;,Volkswagen Cross Touran;;,0.64,22425.0,22425.0,2.4,343.0,суди,medium,low,medium
1564,Дембовський Сергій Георгійович,vulyk_8_168,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,;;,Nissan;Lexus RX;,0.64,26291.0,26291.0,2.0,197.0,суди,medium,superlow,medium
1585,Демянчук Світлана Василівна,vulyk_27_164,Загальний апеляційний суд,суддя апеляційного суду рівненської області,;;,Volkswagen Touareg;;,0.34,19441.0,42710.0,0.7,512.0,суди,low,medium,superlow
1586,Демянчук Юрій Григорович,vulyk_55_147,Апеляційний господарський суд,суддя рівненського апеляційного господарського суду,Volkswagen Touareg;,;;,0.34,23269.0,42710.0,0.7,512.0,суди,low,medium,superlow
1646,Дмитренко Антоніна Михайлівна,vulyk_21_186,Загальний місцевий суд,суддя білоцерківського міськрайонного суду київської області,;;;,Toyota Venza;;;;,0.32,19942.0,21879.0,1.2,380.0,суди,low,low,superlow
1649,Дмитрук Валентин Васильович,vulyk_56_47,Адміністративний місцевий суд,суддя волинського окружного адміністративного суду,;;,Nissan Qashqai;;,0.16,16445.0,17002.0,0.8,540.0,суди,low,medium,superlow
1668,Довбня Андрій Анатолійович,vulyk_60_59,Міністерство внутрішніх справ,начальник михайлівського рв гумвс україни в запорізький області,Volkswagen Touareg;Volkswagen Polo;;,Volkswagen Polo;;;,0.51,6243.0,8534.0,5.0,62.0,МВС,medium,superlow,medium
1675,Доголіч Ігор Володимирович,vulyk_33_79,Міністерство внутрішніх справ,начальник управління даі умвс україни в чернівецькій області,;;;,Mercedes-Benz GL-550;;;,0.64,7830.0,7830.0,6.8,518.0,МВС,medium,medium,medium
1679,Долженко Олександр Миколайович,vulyk_36_11,Міністерство внутрішніх справ,начальник куп'янського мв гумвс україни в харківській області,Mitsubishi Pajero Wagon;,Mitsubishi Pajero Wagon;Nissan Juke,1.0,8385.0,23240.0,3.6,338.0,МВС,high,low,medium
1685,Доля Володимир Анатолійович,vulyk_28_58,Загальний місцевий суд,заступник голови рівненського міського суду рівненської області,Hyundai Santa FE;УАЗ;;;;,Opel Astra;;;,0.26,20847.0,24304.0,0.9,389.0,суди,low,low,superlow
1693,Домніцак Руслан Володимирович,vulyk_18_60,Міністерство внутрішніх справ,заступник начальника гу - начальник кримінальної міліціі гумвс україни в львівській області,;;,BMW 316;ЗАЗ 110557;,0.07,12423.0,15502.0,0.4,360.0,МВС,superlow,low,superlow
1696,Донченко Євгеній Петрович,vulyk_29_198,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника – начальник комсомольського відділення кременчуцької одпі гу міндоходів у полтавській області,Honda Pilot;;;,Toyota Auris;,0.44,5797.0,5797.0,6.3,470.0,митники,low,low,medium
1707,Доскевич Геннадій Олександрович,vulyk_14_166,Міністерство внутрішніх справ,заступник начальника гумвс україни в одеській області,Mercedes-Benz S 350 L;;;,;;;,0.35,13106.0,14959.0,1.9,340.0,МВС,low,low,superlow
1719,Дроботова Тетяна Борисівна,vulyk_8_53,Вищий господарський суд,суддя вищого господарського суду україни,;;,Mercedes-Benz ML 350;;,0.8,22949.0,22949.0,2.9,153.0,суди,medium,superlow,medium
1733,Дубина Лариса Анатоліївна,vulyk_17_83,Загальний місцевий суд,заступник голови ленінського районного суду м. запоріжжя,Kia Sorento;;;,Kia Sorento;;;;,0.62,18791.0,18791.0,2.7,99.0,суди,medium,superlow,medium
1738,Дубовік Ольга Миколаївна,vulyk_52_5,Загальний місцевий суд,суддя жовтневого районного суду м. луганська,Mitsubishi Outlander XL;,Volkswagen Touareg;;;,0.47,14633.0,22700.0,1.7,328.0,суди,low,low,superlow
1756,Дузінкевич Іван Миколайович,vulyk_43_44,Загальний місцевий суд,голова тисменицького районного суду івано-франківської області,Mitsubishi Galant;;,;;,0.13,22468.0,22468.0,0.5,359.0,суди,low,low,superlow
1758,Дулгер Володимир Валентинович,vulyk_15_150,Міністерство внутрішніх справ,заступник начальника умвс україни на одеській залізниці - начальник кримінальної міліції,;;,Toyota Camry;;;,0.17,8957.0,8957.0,1.6,683.0,МВС,low,medium,superlow
1760,Дума Віталій Романович,vulyk_28_86,Міністерство внутрішніх справ,начальник управління державної служби боротьби з економічною злочинністю умвс україни в рівненській області,Mazda 626;BMW 530;;;;,Mazda 626;BMW 530;Volkswagen Tiguan;,0.64,5612.0,7854.0,6.8,177.0,МВС,medium,superlow,medium
1768,Дутка Микола Степанович,vulyk_54_164,Загальний місцевий суд,суддя новоселицького районного суду чернівецької області,Mercedes-Benz;;;,;;;,0.06,21837.0,23477.0,0.2,382.0,суди,superlow,low,superlow
1776,Дюкарєва Світлана Володимирівна,vulyk_56_122,Апеляційний адміністративний суд,суддя харківського апеляційного адміністративного суду,Kia Mohave;Porsche Cayenne;,;;,0.66,19685.0,19685.0,2.8,32.0,суди,medium,superlow,medium
1777,Дядченко Вадим Миколайович,vulyk_21_71,Міністерство внутрішніх справ,начальник штабу управління мвс україни на південній залізниці,Toyota Land Cruiser Prado;;;,;;;;,0.25,6348.0,9955.0,2.1,311.0,МВС,low,low,medium
1783,Дячук Олександра Олександрівна,vulyk_33_198,Загальний місцевий суд,суддя сторожинецького районного суду чернівецької області,Kia Picanto;;;,Nissan Qashqai;;;,0.24,19735.0,23902.0,0.8,573.0,суди,low,medium,superlow
1790,Діденко Сергій Аркадійович,vulyk_52_30,Загальний місцевий суд,суддя київського районного суду м. харкова,Kia Ceed;Daewoo Sens,;;;,0.15,21022.0,22260.0,0.6,1849.0,суди,low,high,superlow
1793,Дідик Андрій Миколайович,vulyk_18_165,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника головного управління державної фіскальної служби у львівській області,Infiniti QX 56;Volkswagen Crafter;,Volkswagen Eos;Audi A6;,1.15,2925.0,3375.0,28.5,570.0,митники,high,medium,high
1807,Жайворонок Тетяна Євгенівна,vulyk_56_187,Верховний суд,суддя верховного суду україни,Peugout 307;;,Volkswagen Touareg;;,0.29,23522.0,43512.0,0.6,433.0,суди,low,low,superlow
1809,Жарун Анатолій Петрович,vulyk_19_185,Бершадський районний суд Вінницької області,суддя бершадського районного суду вінницької області,Kia Sportage;;,;;,0.23,19337.0,34618.0,0.5,302.0,суди,low,low,superlow
1816,Жельне Сергій Чеславович,vulyk_59_65,Господарський місцевий суд,суддя господарського суду харківської області,Toyota Avensis;Daewoo Sens;,Toyota Land Cruiser 120;Toyota Avensis;;,0.98,19315.0,19342.0,4.2,297.0,суди,medium,superlow,medium
1823,Животов Геннадій Олексійович,vulyk_8_171,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mercedes-Benz E 300;Daewoo Nexia;,Nissan X-Trail wagon;;,0.3,25370.0,25370.0,1.0,407.0,суди,low,low,superlow
1830,Жизневська Анжела Владиславівна,vulyk_58_47,Апеляційний адміністративний суд,суддя житомирського апеляційного адміністративного суду,Toyota Rav 4;;,Toyota Land Cruiser-150;Nissan Micra;Toyota Camry;,0.71,20205.0,41153.0,1.4,735.0,суди,medium,medium,superlow
1831,Жизнєвський Юрій Васильович,vulyk_60_188,Загальний апеляційний суд,суддя апеляційного суду житомирської області,Toyota Land Cruiser;Nissan Micra;Toyota Camry;,Toyota Rav 4;;;,0.71,20948.0,41153.0,1.4,735.0,суди,medium,medium,superlow
1848,Жорняк Олександр Миколайович,vulyk_15_184,Загальний місцевий суд,голова дергачівського районного суду харківської області,Nissan Teana;ВАЗ 21214;,ВАЗ 21214;;;,0.29,20823.0,22084.0,1.1,433.0,суди,low,low,superlow
1853,Жук Ярослав Віталійович,vulyk_23_30,Міністерство внутрішніх справ,"начальник управління боротьби зі злочинами, пов'язаними з торгівлею людьми гумвс україни в м. києві",;;,Volkswagen Touareg;;,0.61,4647.0,9604.0,5.3,0.0,МВС,medium,superlow,low
1854,Жуков Борис Валерійович,vulyk_23_85,Міністерство внутрішніх справ,начальник солом'янського ру гу мвс україни в м. києві,;;,Land Rover Range Rover;;,0.53,8266.0,8266.0,5.4,90.0,МВС,medium,superlow,medium
1858,Жукова Євгенія Олексіївна,vulyk_41_61,Адміністративний місцевий суд,суддя дніпропетровського окружного адміністративного суду,Volkswagen Golf;;;,Volkswagen Touareg;;;;,0.68,7976.0,10040.0,5.6,209.0,суди,medium,superlow,medium
1862,Журавель Валентина Іванівна,vulyk_8_131,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mazda CX-7;;,Honda CR-V;;,0.41,25122.0,44131.0,0.8,460.0,суди,low,low,superlow
1910,Зазулінський Віктор Сергійович,vulyk_26_188,Міністерство внутрішніх справ,начальник удсбез умвс україни в полтавській області,;;,BMW 535 Xi;;;,0.65,8868.0,11785.0,4.6,269.0,МВС,medium,superlow,medium
1920,Закурін Микола Костянтинович,vulyk_31_163,Господарський місцевий суд,голова господарського суду херсонської області,Mazda CX-7;Chevrolet Evanda;;,Mazda 2;;,0.37,21166.0,22287.0,1.4,354.0,суди,low,low,superlow
1928,Замега Ігор Іванович,vulyk_54_138,Загальний місцевий суд,голова любарського районного суду житомирської області,;;;,Volkswagen Caddy;Skoda Octavia A5;;,0.28,24217.0,24217.0,1.0,305.0,суди,low,low,superlow
1930,Занет Марина Георгіївна,vulyk_14_129,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника дпі у ренійському районі головного управління міністерства доходів в одеській області,;;;,ВАЗ 2121;ВАЗ 2121;;,0.03,5690.0,6990.0,0.4,717.0,митники,superlow,medium,superlow
1937,Запорощенко Михайло Дмитрович,vulyk_8_69,Вищий господарський суд,суддя вищого господарського суду україни,BMW X3;;,Volkswagen Touareg;;,0.92,19271.0,19271.0,4.0,209.0,суди,medium,superlow,medium
1941,Заришняк Галина Миколаївна,vulyk_51_8,Загальний апеляційний суд,суддя апеляційного суду м. києва,;;;,Nissan Murano;;;;,0.38,22136.0,41289.0,0.8,325.0,суди,low,low,superlow
1944,Зарютін Павло Вікторович,vulyk_17_108,Загальний місцевий суд,суддя шевченківського районного суду м. запоріжжя,Kia Sorento;;;,Kia Sorento;;;;,0.62,16877.0,16877.0,3.0,111.0,суди,medium,superlow,medium
1948,Заскіна Ілонна Павлівна,vulyk_11_79,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника гу міндоходів у вінницькій області,Nissan Juke;;,Volkswagen Sharan;Toyota Land Cruiser Prado;Nissan Qashqai;,1.17,7131.0,10056.0,9.7,259.0,митники,high,superlow,high
1949,Заславець Наталія Василівна,vulyk_42_77,Загальний місцевий суд,заступник голови цюрупинського районного суду херсонської області,;;;,Renault Kangoo;;,0.08,18700.0,18700.0,0.3,554.0,суди,superlow,medium,superlow
1965,Захаріїв Ганна Михайлівна,vulyk_44_187,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника тисменицької одпі гу дфс в івано-франківській області,;;,Mitsubishi Space Star;;,0.07,4965.0,4965.0,1.3,468.0,митники,superlow,low,superlow
1967,Заяць Роман Ярославович,vulyk_58_165,Міністерство внутрішніх справ,начальник ндекц при гу мвс україни у львівській області,ГАЗ 21 Волга;Toyota Camry;,Hyundai Accent;;;,0.16,12964.0,12964.0,1.0,564.0,МВС,low,medium,superlow
1969,Заєць Світлана Володимирівна,vulyk_37_6,Господарський місцевий суд,суддя господарського суду сумської області,Opel Vectra;;,Hyundai Santa FE;;;;;,0.82,18439.0,24249.0,2.8,31.0,суди,medium,superlow,medium
1971,Заіченко Володимир Леонідович,vulyk_43_142,Загальний апеляційний суд,заступник голови апеляційного суду херсонської області,Kia Magentis;;,;;,0.12,21633.0,27325.0,0.4,407.0,суди,low,low,superlow
1976,Званчук Володимир Маркович,vulyk_44_133,Загальний місцевий суд,суддя суворівського районного суду м. херсона,Toyota;Audi;,Audi;Volkswagen;,0.67,20774.0,24374.0,2.3,84.0,суди,medium,superlow,medium
1977,Звонков Андрій Олександрович,vulyk_13_109,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника головного управління дфс у дніпропетровській області,;;;,Nissan Patrol;Audi A8;;,1.75,7263.0,7263.0,20.0,580.0,митники,high,medium,high
1997,Зеліско Руслан Йосипович,vulyk_17_195,Загальний місцевий суд,заступник голови жовківського районного суду львівської області,Mazda 6;;;,Toyota Camry;Toyota Camry;;;,0.65,19434.0,19434.0,2.8,1179.0,суди,medium,high,medium
2009,Золотоноша Олег Вікторович,vulyk_12_90,Міністерство внутрішніх справ,начальник управління протидії злочинності в сфері економіки гумвс україни в дніпропетровській області,;;;,Hyundai Accent;;,0.13,9212.0,9212.0,1.2,321.0,МВС,low,low,superlow
2016,Зубар Валентин Васильович,vulyk_8_172,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,SsangYong RX 270 XO;Mercedes-Benz ML 350;,Subaru Impreza;;,1.16,25228.0,25228.0,3.8,284.0,суди,high,superlow,medium
2028,Зушман Ганна Іванівна,vulyk_30_145,Загальний місцевий суд,суддя борщівського районного суду тернопільської області,Ford Fusion;;,ВАЗ 2101;ВАЗ 2105;,0.12,20180.0,21099.0,0.5,302.0,суди,low,low,superlow
2045,Кавилін Олексій Анатолійович,vulyk_17_113,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник гу дфс у запорізький області,Range Rover Vogue;;;,;;;;,0.65,9462.0,9462.0,5.7,110.0,митники,medium,superlow,medium
2046,Кавлак Інесса Павлівна,vulyk_42_96,Господарський місцевий суд,суддя господарського суду івано-франківської області,;;;,Audi Q5;Mercedes-Benz GL;,1.43,15072.0,15697.0,7.6,418.0,суди,high,low,high
2049,Кадєтова Олена Веніамінівна,vulyk_8_136,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Toyota Rav 4;;,Mercedes-Benz ML 350;;,0.53,21523.0,21523.0,2.0,357.0,суди,medium,low,medium
2052,Казарцева Валерія Вадимівна,vulyk_59_69,Господарський місцевий суд,суддя господарського суду харківської області,Porsche Cayenne;Porsche Panamera;,;;;,1.54,15036.0,15036.0,8.5,164.0,суди,high,superlow,high
2055,Казюк Олександр Олексійович,vulyk_33_196,Загальний місцевий суд,голова сторожинецького районного суду,Mitsubishi Lancer;;;,Mitsubishi Lancer;Renault Kangoo;;,0.35,20229.0,24069.0,1.2,371.0,суди,low,low,superlow
2056,Калантай Майя Віссаріонівна,vulyk_59_70,Господарський місцевий суд,суддя господарського суду харківської області,;;,Subaru Outback;ВАЗ 212140 Нива;;,0.38,20601.0,20601.0,1.5,356.0,суди,low,low,superlow
2062,Калашник Юлія Вікторівна,vulyk_57_77,Адміністративний місцевий суд,суддя запорізького окружного адміністративного суду,Toyota Rav 4;;;,Citroen C1SX;Lexus ES 350;;,0.55,15323.0,16930.0,2.7,103.0,суди,medium,superlow,medium
2070,Калиновська Лоліта Віталіївна,vulyk_15_188,Загальний місцевий суд,суддя дергачівського районного суду харківської області,Audi A3;;,Daewoo Lanos;Skoda Yeti;Skoda Fabia;Subaru Forester,0.88,15538.0,19768.0,3.7,494.0,суди,medium,low,medium
2071,Калиновський Віталій Анатолійович,vulyk_56_125,Апеляційний адміністративний суд,суддя харківського апеляційного адміністративного суду,Lexus RX 350;;,Toyota Rav 4;;,0.63,21750.0,23833.0,2.2,188.0,суди,medium,superlow,medium
2077,Калмикова Людмила Костянтинівна,vulyk_15_190,Загальний місцевий суд,суддя дергачівського районного суду харківської області,Nissan Almera Classic;;,Nissan Almera Classic;;;,0.18,20113.0,21366.0,0.7,366.0,суди,low,low,superlow
2089,Калібова Марія Миколаївна,vulyk_15_89,Загальний місцевий суд,голова болградського районного суду одеської області,Chery Tiggo;Kia Sportage;,;;;,0.32,22941.0,24435.0,1.1,456.0,суди,low,low,superlow
2090,Калімбет Леонід Іванович,vulyk_42_83,Загальний місцевий суд,суддя генічеського районного суду херсонської області,Toyota Camry;;;,Peugeot 603;;,0.22,23062.0,24762.0,0.8,416.0,суди,low,low,superlow
