,name,id,office,position,cars_info,cars_family_info,all_cars_sum,all_cars_sum_uah,all_cars_sum_uah_mln,monthly_salary,monthly_salary_family,all_salary,all_estate,group,car_years,group_car,group_flat,group_years
1543,Даніліна Ірина Вікторівна,vulyk_34_100,Міністерство внутрішніх справ,начальник приймальника-розподільника для дітей гумвс україни в харківській області,Lexus GX;;,Toyota Avensis;;,49615.0,595380.0,0.6,6871.0,1421.0,8292.0,78.0,МВС,6.0,low,superlow,medium
1576,Дем'яносов Микола Власович,vulyk_8_126,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mercedes-Benz CL 350;;,Volkswagen Cross Touran;;,53590.0,643080.0,0.64,22425.0,0.0,22425.0,343.0,суди,2.4,low,superlow,superlow
1579,Дембовський Сергій Георгійович,vulyk_8_168,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,;;,Nissan;Lexus RX;,53397.0,640764.0,0.64,26291.0,0.0,26291.0,197.0,суди,2.0,low,superlow,superlow
1600,Демянчук Світлана Василівна,vulyk_27_164,Загальний апеляційний суд,суддя апеляційного суду рівненської області,;;,Volkswagen Touareg;;,28705.0,344460.0,0.34,19441.0,23269.0,42710.0,512.0,суди,0.7,superlow,low,superlow
1601,Демянчук Юрій Григорович,vulyk_55_147,Апеляційний господарський суд,суддя рівненського апеляційного господарського суду,Volkswagen Touareg;,;;,28705.0,344460.0,0.34,23269.0,19441.0,42710.0,512.0,суди,0.7,superlow,low,superlow
1664,Дмитрук Валентин Васильович,vulyk_56_47,Адміністративний місцевий суд,суддя волинського окружного адміністративного суду,;;,Nissan Qashqai;;,13495.0,161940.0,0.16,16445.0,557.0,17002.0,540.0,суди,0.8,superlow,low,superlow
1683,Довбня Андрій Анатолійович,vulyk_60_59,Міністерство внутрішніх справ,начальник михайлівського рв гумвс україни в запорізький області,Volkswagen Touareg;Volkswagen Polo;;,Volkswagen Polo;;;,42564.0,510768.0,0.51,6243.0,2291.0,8534.0,62.0,МВС,5.0,low,superlow,medium
1690,Доголіч Ігор Володимирович,vulyk_33_79,Міністерство внутрішніх справ,начальник управління даі умвс україни в чернівецькій області,;;;,Mercedes-Benz GL-550;;;,53478.0,641736.0,0.64,7830.0,0.0,7830.0,518.0,МВС,6.8,low,low,medium
1694,Долженко Олександр Миколайович,vulyk_36_11,Міністерство внутрішніх справ,начальник куп'янського мв гумвс україни в харківській області,Mitsubishi Pajero Wagon;,Mitsubishi Pajero Wagon;Nissan Juke,83058.0,996696.0,1.0,8385.0,14855.0,23240.0,338.0,МВС,3.6,high,superlow,low
1734,Дроботова Тетяна Борисівна,vulyk_8_53,Вищий господарський суд,суддя вищого господарського суду україни,;;,Mercedes-Benz ML 350;;,66978.0,803736.0,0.8,22949.0,0.0,22949.0,153.0,суди,2.9,medium,superlow,superlow
1735,Дрогомирецький Віктор Іванович,vulyk_3_1,Прокуратура,старший прокурор прокуратури дніпровського району м. києва,Toyota Corolla;,Mercedes Benz E220 CDI;;;,75967.0,911604.0,0.91,7800.0,938.0,8738.0,109.0,суди,8.7,medium,superlow,high
1746,Дубець Юрій Дмитрович,vulyk_18_77,Міністерство внутрішніх справ,Начальник Сектора медичного забезпечення ГУМВС України в Львівській області,Volkswagen Touareg;;,Volvo XC70;;,44464.0,533568.0,0.53,0.0,0.0,0.0,41.0,МВС,inf,low,superlow,high
1775,Дулгер Володимир Валентинович,vulyk_15_150,Міністерство внутрішніх справ,заступник начальника умвс україни на одеській залізниці - начальник кримінальної міліції,;;,Toyota Camry;;;,14299.0,171588.0,0.17,8957.0,0.0,8957.0,683.0,МВС,1.6,superlow,low,superlow
1777,Дума Віталій Романович,vulyk_28_86,Міністерство внутрішніх справ,начальник управління державної служби боротьби з економічною злочинністю умвс україни в рівненській області,Mazda 626;BMW 530;;;;,Mazda 626;BMW 530;Volkswagen Tiguan;,53361.0,640332.0,0.64,5612.0,2242.0,7854.0,177.0,МВС,6.8,low,superlow,medium
1793,Дюкарєва Світлана Володимирівна,vulyk_56_122,Апеляційний адміністративний суд,суддя харківського апеляційного адміністративного суду,Kia Mohave;Porsche Cayenne;,;;,55354.0,664248.0,0.66,19685.0,0.0,19685.0,32.0,суди,2.8,low,superlow,superlow
1800,Дячук Олександра Олександрівна,vulyk_33_198,Загальний місцевий суд,суддя сторожинецького районного суду чернівецької області,Kia Picanto;;;,Nissan Qashqai;;;,19930.0,239160.0,0.24,19735.0,4167.0,23902.0,573.0,суди,0.8,superlow,low,superlow
1807,Діденко Сергій Аркадійович,vulyk_52_30,Загальний місцевий суд,суддя київського районного суду м. харкова,Kia Ceed;Daewoo Sens,;;;,12779.0,153348.0,0.15,21022.0,1238.0,22260.0,1849.0,суди,0.6,superlow,high,superlow
1810,Дідик Андрій Миколайович,vulyk_18_165,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника головного управління державної фіскальної служби у львівській області,Infiniti QX 56;Volkswagen Crafter;,Volkswagen Eos;Audi A6;,96179.0,1154148.0,1.15,2925.0,450.0,3375.0,570.0,митники,28.5,high,low,high
1821,Етнарович Віталій Володимирович,vulyk_14_62,Прокуратура,перший заступник прокурора одеської області,;;;,Hyundai Getz;Lexus RX 350;Audi Q5;Audi Q7,130353.0,1564236.0,1.56,14981.0,1900.0,16881.0,280.0,суди,7.7,high,superlow,high
1833,Жельне Сергій Чеславович,vulyk_59_65,Господарський місцевий суд,суддя господарського суду харківської області,Toyota Avensis;Daewoo Sens;,Toyota Land Cruiser 120;Toyota Avensis;;,81423.0,977076.0,0.98,19315.0,27.0,19342.0,297.0,суди,4.2,medium,superlow,low
1844,Жиганська Наталія Михайлівна,vulyk_20_142,Загальний місцевий суд,Голова Свалявського районного суду Закарпатської області,Skoda Fabia;ВАЗ 21099;;,ВАЗ 21213;ВАЗ 210994;Audi 80;,7457.0,89484.0,0.09,21985.0,3138.0,25123.0,936.0,суди,0.3,superlow,medium,superlow
1848,Жизневська Анжела Владиславівна,vulyk_58_47,Апеляційний адміністративний суд,суддя житомирського апеляційного адміністративного суду,Toyota Rav 4;;,Toyota Land Cruiser-150;Nissan Micra;Toyota Camry;,59353.0,712236.0,0.71,20205.0,20948.0,41153.0,735.0,суди,1.4,medium,medium,superlow
1849,Жизнєвський Юрій Васильович,vulyk_60_188,Загальний апеляційний суд,суддя апеляційного суду житомирської області,Toyota Land Cruiser;Nissan Micra;Toyota Camry;,Toyota Rav 4;;;,59353.0,712236.0,0.71,20948.0,20205.0,41153.0,735.0,суди,1.4,medium,medium,superlow
1871,Жук Ярослав Віталійович,vulyk_23_30,Міністерство внутрішніх справ,"начальник управління боротьби зі злочинами, пов'язаними з торгівлею людьми гумвс україни в м. києві",;;,Volkswagen Touareg;;,50629.0,607548.0,0.61,4647.0,4957.0,9604.0,0.0,МВС,5.3,low,superlow,medium
1872,Жуков Борис Валерійович,vulyk_23_85,Міністерство внутрішніх справ,начальник солом'янського ру гу мвс україни в м. києві,;;,Land Rover Range Rover;;,44261.0,531132.0,0.53,8266.0,0.0,8266.0,90.0,МВС,5.4,low,superlow,medium
1876,Жукова Євгенія Олексіївна,vulyk_41_61,Адміністративний місцевий суд,суддя дніпропетровського окружного адміністративного суду,Volkswagen Golf;;;,Volkswagen Touareg;;;;,56399.0,676788.0,0.68,7976.0,2064.0,10040.0,209.0,суди,5.6,low,superlow,medium
1899,Заброцька Оксана Вікторівна,vulyk_1_869,Прокуратура,старший прокурор прокуратури міста Ірпеня,Daewoo Matiz;;;;;,Mercedes Benz S350;;;;;,65345.0,784140.0,0.78,6084.0,0.0,6084.0,608.0,суди,10.7,medium,low,high
1928,Зазулінський Віктор Сергійович,vulyk_26_188,Міністерство внутрішніх справ,начальник удсбез умвс україни в полтавській області,;;,BMW 535 Xi;;;,54517.0,654204.0,0.65,8868.0,2917.0,11785.0,269.0,МВС,4.6,low,superlow,low
1948,Занет Марина Георгіївна,vulyk_14_129,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника дпі у ренійському районі головного управління міністерства доходів в одеській області,;;;,ВАЗ 2121;ВАЗ 2121;;,2895.0,34740.0,0.03,5690.0,1300.0,6990.0,717.0,митники,0.4,superlow,medium,superlow
1955,Запорощенко Михайло Дмитрович,vulyk_8_69,Вищий господарський суд,суддя вищого господарського суду україни,BMW X3;;,Volkswagen Touareg;;,76736.0,920832.0,0.92,19271.0,0.0,19271.0,209.0,суди,4.0,medium,superlow,low
1966,Заскіна Ілонна Павлівна,vulyk_11_79,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника гу міндоходів у вінницькій області,Nissan Juke;;,Volkswagen Sharan;Toyota Land Cruiser Prado;Nissan Qashqai;,97527.0,1170324.0,1.17,7131.0,2925.0,10056.0,259.0,митники,9.7,high,superlow,high
1967,Заславець Наталія Василівна,vulyk_42_77,Загальний місцевий суд,заступник голови цюрупинського районного суду херсонської області,;;;,Renault Kangoo;;,6496.0,77952.0,0.08,18700.0,0.0,18700.0,554.0,суди,0.3,superlow,low,superlow
1985,Заяць Роман Ярославович,vulyk_58_165,Міністерство внутрішніх справ,начальник ндекц при гу мвс україни у львівській області,ГАЗ 21 Волга;Toyota Camry;,Hyundai Accent;;;,13072.0,156864.0,0.16,12964.0,0.0,12964.0,564.0,МВС,1.0,superlow,low,superlow
1987,Заєць Світлана Володимирівна,vulyk_37_6,Господарський місцевий суд,суддя господарського суду сумської області,Opel Vectra;;,Hyundai Santa FE;;;;;,68569.0,822828.0,0.82,18439.0,5810.0,24249.0,31.0,суди,2.8,medium,superlow,superlow
1994,Званчук Володимир Маркович,vulyk_44_133,Загальний місцевий суд,суддя суворівського районного суду м. херсона,Toyota;Audi;,Audi;Volkswagen;,55539.0,666468.0,0.67,20774.0,3600.0,24374.0,84.0,суди,2.3,low,superlow,superlow
1995,Звонков Андрій Олександрович,vulyk_13_109,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника головного управління дфс у дніпропетровській області,;;;,Nissan Patrol;Audi A8;;,145459.0,1745508.0,1.75,7263.0,0.0,7263.0,580.0,митники,20.0,high,low,high
2015,Зеліско Руслан Йосипович,vulyk_17_195,Загальний місцевий суд,заступник голови жовківського районного суду львівської області,Mazda 6;;;,Toyota Camry;Toyota Camry;;;,53995.0,647940.0,0.65,19434.0,0.0,19434.0,1179.0,суди,2.8,low,high,superlow
2023,Зовдун Сергій Петрович,vulyk_21_39,Прокуратура,хустський міжрайонний прокурор закарпатської області,Mercedes-Benz E220;;;,Skoda Octavia A5;;;;,47531.0,570372.0,0.57,14379.0,0.0,14379.0,237.0,суди,3.3,low,superlow,low
2034,Зубар Валентин Васильович,vulyk_8_172,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,SsangYong RX 270 XO;Mercedes-Benz ML 350;,Subaru Impreza;;,96349.0,1156188.0,1.16,25228.0,0.0,25228.0,284.0,суди,3.8,high,superlow,low
2063,Кавилін Олексій Анатолійович,vulyk_17_113,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник гу дфс у запорізький області,Range Rover Vogue;;;,;;;;,54398.0,652776.0,0.65,9462.0,0.0,9462.0,110.0,митники,5.7,low,superlow,medium
2064,Кавлак Інесса Павлівна,vulyk_42_96,Господарський місцевий суд,суддя господарського суду івано-франківської області,;;;,Audi Q5;Mercedes-Benz GL;,119542.0,1434504.0,1.43,15072.0,625.0,15697.0,418.0,суди,7.6,high,superlow,high
2067,Кадєтова Олена Веніамінівна,vulyk_8_136,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Toyota Rav 4;;,Mercedes-Benz ML 350;;,43948.0,527376.0,0.53,21523.0,0.0,21523.0,357.0,суди,2.0,low,superlow,superlow
2070,Казарцева Валерія Вадимівна,vulyk_59_69,Господарський місцевий суд,суддя господарського суду харківської області,Porsche Cayenne;Porsche Panamera;,;;;,128483.0,1541796.0,1.54,15036.0,0.0,15036.0,164.0,суди,8.5,high,superlow,high
2080,Калашник Юлія Вікторівна,vulyk_57_77,Адміністративний місцевий суд,суддя запорізького окружного адміністративного суду,Toyota Rav 4;;;,Citroen C1SX;Lexus ES 350;;,45637.0,547644.0,0.55,15323.0,1607.0,16930.0,103.0,суди,2.7,low,superlow,superlow
2088,Калиновська Лоліта Віталіївна,vulyk_15_188,Загальний місцевий суд,суддя дергачівського районного суду харківської області,Audi A3;;,Daewoo Lanos;Skoda Yeti;Skoda Fabia;Subaru Forester,73559.0,882708.0,0.88,15538.0,4230.0,19768.0,494.0,суди,3.7,medium,superlow,low
2089,Калиновський Віталій Анатолійович,vulyk_56_125,Апеляційний адміністративний суд,суддя харківського апеляційного адміністративного суду,Lexus RX 350;;,Toyota Rav 4;;,52470.0,629640.0,0.63,21750.0,2083.0,23833.0,188.0,суди,2.2,low,superlow,superlow
2112,Калініченко Микола Іванович,vulyk_10_152,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник полтавської митниці дфс,Toyota Land Cruiser Prado;;,Toyota Rav 4;;;;,60768.0,729216.0,0.73,4078.0,24635.0,28713.0,725.0,митники,2.1,medium,medium,superlow
2122,Камінський Станіслав Євгенійович,vulyk_13_75,Міністерство внутрішніх справ,начальник довгинцівського рв криворізького му гумвс україни в дніпропетровській області,Nissan Pathfinder;Mitsubishi Lancer;;,;;;,42821.0,513852.0,0.51,502.0,7984.0,8486.0,138.0,МВС,5.0,low,superlow,medium
2165,Карнач Андрій Олександрович,vulyk_32_107,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника оперативного управління дпі у м. херсон гу міндоходів у херсонській області,;;;,Volkswagen Touareg;;,50629.0,607548.0,0.61,4596.0,0.0,4596.0,360.0,митники,11.0,low,superlow,high
2170,Карпенко Сергій Миколайович,vulyk_32_17,Міністерство внутрішніх справ,начальник управління даі умвс україни в херсонській області,Volkswagen Touareg;;;,Mazda 3;;,53933.0,647196.0,0.65,10369.0,1762.0,12131.0,173.0,МВС,4.4,low,superlow,low
2194,Касьян Олексій Петрович,vulyk_8_138,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mercedes-Benz ML 350;;,;;,56919.0,683028.0,0.68,27026.0,4574.0,31600.0,46.0,суди,1.8,low,superlow,superlow
2203,Кафідова Олена Василівна,vulyk_8_118,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,"секретар судової палати, суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ",Jeep Wrangler;;,Peugeot 206;Nissan;,51130.0,613560.0,0.61,23178.0,7000.0,30178.0,160.0,суди,1.7,low,superlow,superlow
2219,Кващук Олег Іванович,vulyk_16_121,Прокуратура,заступник прокурора харківської області,Toyota Camry;;,Mercedes-Benz E-Class;;;;;;,45756.0,549072.0,0.55,14538.0,4445.0,18983.0,122.0,суди,2.4,low,superlow,superlow
2222,Квятківський Юрій Вікторович,vulyk_39_105,Міністерство внутрішніх справ,перший заступник начальника - начальник слідчого управління умвс в херсонській області,Kia Sorento;Renault Kangoo;УАЗ 3303;;;;;;;;;,Hyundai Tucson;Chevrolet Aveo;Volkswagen Golf;Nissan Leaf;,72332.0,867984.0,0.87,17281.0,21500.0,38781.0,392.0,МВС,1.9,medium,superlow,superlow
2273,Клебан Олег Ярославович,vulyk_2_90,Прокуратура,старший слідчий слідчого відділу прокуратури тернопільської області,Mercedes-Benz S 320 CDI;;,;;,48756.0,585072.0,0.59,8358.0,0.0,8358.0,0.0,суди,5.8,low,superlow,medium
2317,Книш Наталія Михайлівна,vulyk_1_1611,Прокуратура,старший прокурор прокуратури Святошинського району,Toyota Land Cruiser Prado;;;;;,Mitsubishi Pajero Sport;;;;;,45281.0,543372.0,0.54,0.0,3201.0,3201.0,389.0,суди,14.1,low,superlow,high
2338,Коваленко Василь Дмитрович,vulyk_41_118,Загальний апеляційний суд,суддя апеляційного суду дніпропетровської області,SsangYong Korando;Nissan TIIDA;;,Honda Pilot;Kia Sorento;;;,63840.0,766080.0,0.77,22330.0,3299.0,25629.0,510.0,суди,2.5,medium,low,superlow
2339,Коваленко Володимир Миколайович,vulyk_8_71,Вищий господарський суд,суддя вищого господарського суду україни,Toyota Land Cruiser Prado;;,Toyota Camry;;,46394.0,556728.0,0.56,25055.0,1583.0,26638.0,110.0,суди,1.7,low,superlow,superlow
2340,Коваленко Володимир Михайлович,vulyk_10_137,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника митного поста - начальник відділу,Toyota Yaris;;,Lexus RX;;;;,43732.0,524784.0,0.52,9829.0,0.0,9829.0,128.0,митники,4.4,low,superlow,low
2352,Коваленко Олександр Вікторович,vulyk_36_196,Господарський місцевий суд,голова господарського суду сумської області,Hyundai Santa FE;,Mazda 6;,57058.0,684696.0,0.68,19403.0,0.0,19403.0,284.0,суди,2.9,low,superlow,superlow
2421,Кожушко Олександр Миколайович,vulyk_33_50,Прокуратура,канівський міжрайонний прокурор черкаської області,Lexus GX 470;;;,Mazda CX-7;;;,45262.0,543144.0,0.54,12178.0,12973.0,25151.0,92.0,суди,1.8,low,superlow,superlow
2423,Козак Ігор Осипович,vulyk_45_80,Загальний апеляційний суд,суддя-секретар судової палати в цивільних справах апеляційного суду тернопільської області,Suzuki Grand Vitara;Chevrolet Lacetti;,Suzuki Grand Vitara;;;;,27143.0,325716.0,0.33,21659.0,19720.0,41379.0,548.0,суди,0.7,superlow,low,superlow
2429,Козаченко Юліана Павлівна,vulyk_17_128,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,в. о. начальника дпі у хортицькому районі м. запоріжжя гу дфс у запорізький області,;;;,Audi Q7;;;;,63915.0,766980.0,0.77,6587.0,5294.0,11881.0,129.0,митники,5.4,medium,superlow,medium
2441,Козловська Людмила Дмитрівна,vulyk_33_171,Загальний місцевий суд,суддя герцаївського районного суду чернівецької області,Mazda;ВАЗ 2115;ВАЗ 21013;ВАЗ 2107,Mercedes-Benz Vito;Hyundai Santa FE;Kia Cerato;,53980.0,647760.0,0.65,17090.0,0.0,17090.0,508.0,суди,3.2,low,low,low
2455,Колесник Віталіна Василівна,vulyk_14_127,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника дпі у овідіопольському районі гу міндоходів в одеській області,Mazda 626;Mitsubishi Pajero Sport;;,Mercedes-Benz 500SE;Land Rover Range Rover;;,65826.0,789912.0,0.79,4724.0,3200.0,7924.0,440.0,митники,8.3,medium,superlow,high
2456,Колесник Павло Іванович,vulyk_56_189,Верховний суд,заступник секретаря судової палати у господарських справах верховного суду україни,Volkswagen Touareg;;,;;,44497.0,533964.0,0.53,28786.0,1704.0,30490.0,44.0,суди,1.5,low,superlow,superlow
2459,Колесниченко Володимир Миколайович,vulyk_8_174,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Land Rover;Audi;,;;,41985.0,503820.0,0.5,23754.0,6812.0,30566.0,1004.0,суди,1.4,low,high,superlow
2474,Коломис Вікторія Вікторівна,vulyk_55_149,Апеляційний господарський суд,суддя рівненського апеляційного господарського суду,Lexus RX 350;,;;,46788.0,561456.0,0.56,20171.0,0.0,20171.0,153.0,суди,2.3,low,superlow,superlow
2480,Коломієць Володимир Васильович,vulyk_33_8,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник головного управління дфс у черкаській області,;;;,Volkswagen Touareg;;;,44497.0,533964.0,0.53,10842.0,1450.0,12292.0,444.0,митники,3.6,low,superlow,low
2494,Колєснік Володимир Олексійович,vulyk_34_82,Міністерство внутрішніх справ,начальник убоз гумвс україни в харківській області,Chevrolet Niva;;,BMW X5;Skoda Superb;,53145.0,637740.0,0.64,13994.0,3496.0,17490.0,151.0,МВС,3.0,low,superlow,low
2515,Кондратенко Людмила Петрівна,vulyk_55_15,Загальний місцевий суд,суддя,Toyota Corolla;,;;,16853.0,202236.0,0.2,18686.0,0.0,18686.0,20066.0,суди,0.9,superlow,high,superlow
2519,Кондратова Ірина Дмитрівна,vulyk_8_96,Вищий господарський суд,суддя вищого господарського суду україни,Toyota Camry;;,Toyota Land Cruiser;;,9593.0,115116.0,0.12,12400.0,2591.0,14991.0,655.0,суди,0.6,superlow,low,superlow
2524,Кондус Людмила Андріївна,vulyk_12_54,Загальний місцевий суд,суддя томаківського районного суду дніпропетровської області,;;;,Audi Q7;;,73911.0,886932.0,0.89,18086.0,0.0,18086.0,101.0,суди,4.1,medium,superlow,low
2529,Коноваленко Максим Іванович,vulyk_54_61,Загальний місцевий суд,суддя тернівського районного суду м. кривого рогу,Nissan X-Trail;;;,Nissan X-Trail;BMW X5;;,63398.0,760776.0,0.76,18769.0,2396.0,21165.0,0.0,суди,3.0,medium,superlow,low
2560,Коренев Андрій Олексійович,vulyk_41_68,Адміністративний місцевий суд,суддя дніпропетровського окружного адміністративного суду,;;;,Lexus RX 350;;;;,41017.0,492204.0,0.49,16856.0,0.0,16856.0,703.0,суди,2.4,superlow,medium,superlow
2584,Коровайко Олександр Іванович,vulyk_43_141,Загальний апеляційний суд,голова апеляційного суду херсонської області,Volkswagen Touareg;ВАЗ 21099;,;;,53186.0,638232.0,0.64,24182.0,0.0,24182.0,292.0,суди,2.2,low,superlow,superlow
2597,Коротаєв Володимир Миколайович,vulyk_57_146,Міністерство внутрішніх справ,начальник ндекц при гумвс україни в дніпропетровській обл,ГАЗ М 21;Toyota Rav 4;;,Toyota Rav 4;;;,43993.0,527916.0,0.53,14014.0,5150.0,19164.0,533.0,МВС,2.3,low,low,superlow
2605,Корсак Віталій Антонович,vulyk_8_55,Вищий господарський суд,суддя вищого господарського суду україни,;;,Mercedes-Benz S 500;Lexus-RX 350;,45554.0,546648.0,0.55,20332.0,0.0,20332.0,690.0,суди,2.2,low,low,superlow
2609,Корчевний Геннадій Валерійович,vulyk_51_13,Загальний апеляційний суд,суддя апеляційного суду м. києва,Jeep Grand Cherokee;;;,;;;;,70181.0,842172.0,0.84,21093.0,0.0,21093.0,89.0,суди,3.3,medium,superlow,low
2614,Кос'яненко Олег Олександрович,vulyk_14_69,Прокуратура,прокурор малиновського району м. одеси одеської області,Toyota F7 Cruiser;;;,Mercedes-Benz G-350 Blue TEC;;;,89759.0,1077108.0,1.08,12210.0,0.0,12210.0,530.0,суди,7.4,high,low,high
2658,Кот Олександр Васильович,vulyk_8_33,Вищий господарський суд,суддя вищого господарського суду україни,Ford Scorpio;УАЗ 315192;Toyota Land Cruiser,Lexus;;,35107.0,421284.0,0.42,23218.0,38042.0,61260.0,599.0,суди,0.6,superlow,low,superlow
2663,Котляр Антон Миколайович,vulyk_17_94,Загальний місцевий суд,суддя хортицького районного суду міста запоріжжя,ВАЗ 21104;Seat Leon;;,Nissan Juke;;;;,43841.0,526092.0,0.53,15107.0,0.0,15107.0,160.0,суди,2.9,low,superlow,superlow
2684,Кошин Софія Олегівна,vulyk_2_108,Прокуратура,спеціаліст 1 категорії прокуратури оболонського району м. києва,;;,Hyundai Sonata;;,19901.0,238812.0,0.24,891.0,0.0,891.0,1548.0,суди,22.3,superlow,high,high
2685,Кравець Валентина Аркадіївна,vulyk_51_15,Загальний апеляційний суд,суддя апеляційного суду м. києва,Volkswagen Tiguan;;;,Volkswagen Passat;Volvo XC90;;;,69001.0,828012.0,0.83,20315.0,0.0,20315.0,230.0,суди,3.4,medium,superlow,low
2705,Кравченко Олег Олександрович,vulyk_10_164,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник харківського управління з питань експертизи та досліджень след міндоходів,;;,Toyota Land Cruiser Prado;Smart Fortwo;Nissan Leaf;;,49661.0,595932.0,0.6,10709.0,0.0,10709.0,162.0,митники,4.6,low,superlow,low
2714,Кравчук Геннадій Анатолійович,vulyk_8_19,Вищий господарський суд,заступник голови вищого господарського суду україни,Volkswagen Touareg;;,;;,50629.0,607548.0,0.61,24724.0,4552.0,29276.0,236.0,суди,1.7,low,superlow,superlow
2745,Кривенда Олег Вікторович,vulyk_56_171,Верховний суд,суддя верховного суду україни,Lexus RX-350;;,;;,60733.0,728796.0,0.73,27587.0,0.0,27587.0,186.0,суди,2.2,medium,superlow,superlow
2747,Кривенко Віктор Васильович,vulyk_56_168,Верховний суд,"суддя верховного суду україни, заступник голови, секретар судової палати в адміністративних справах",Mercedes-Benz;Lexus;,Mercedes-Benz;;,20303.0,243636.0,0.24,27040.0,0.0,27040.0,648.0,суди,0.8,superlow,low,superlow
2804,Кубатко Костянтин Володимирович,vulyk_32_121,Прокуратура,заступник прокурора херсонської області,;;;,Toyota Camry;;,14299.0,171588.0,0.17,5839.0,0.0,5839.0,555.0,суди,2.4,superlow,low,superlow
2821,Кузнєцов Віктор Володимирович,vulyk_14_168,Міністерство внутрішніх справ,заступник начальника - начальник міліції громадської безпеки гумвс україни в одеській області,Suzuki DL 1000;;;,Toyota Land Cruiser 100;Honda Jazz;;,43011.0,516132.0,0.52,8706.0,0.0,8706.0,520.0,МВС,4.9,low,low,low
2839,Куйбіда Анатолій Іванович,vulyk_19_183,Загальний місцевий суд,голова бершадського районного суду вінницької області,Nissan X-Trail;;,УАЗ 31512;Mitsubishi Lancer;Chery M11,32308.0,387696.0,0.39,21162.0,9455.0,30617.0,529.0,суди,1.1,superlow,low,superlow
2859,Кулікова Світлана Василівна,vulyk_51_16,Загальний місцевий суд,суддя,Toyota Land Cruiser Prado;;;,;;;;,42312.0,507744.0,0.51,21519.0,0.0,21519.0,142.0,суди,2.0,low,superlow,superlow
2892,Куриця Микола Миколайович,vulyk_20_181,Міністерство внутрішніх справ,начальник берегівського рв умвс україни в закарпатській області,ВАЗ 21150;Skoda Octavia;Volkswagen Amarok;,Audi 100;;;,44500.0,534000.0,0.53,6296.0,5596.0,11892.0,0.0,МВС,3.7,low,superlow,low
2915,Кухар Наталія Миколаївна,vulyk_59_73,Господарський місцевий суд,суддя господарського суду харківської області,Audi Q7;;,Skoda Octavia A5;;;,48626.0,583512.0,0.58,15408.0,14572.0,29980.0,508.0,суди,1.6,low,low,superlow
2918,Кухтін Геннадій Олексійович,vulyk_54_16,Загальний місцевий суд,суддя індустріального районного суду м. дніпропетровська,;;;,Mercedes-Benz GL 350;;;,80081.0,960972.0,0.96,7671.0,0.0,7671.0,200.0,суди,10.4,medium,superlow,high
2929,Кучеренко Віктор Васильович,vulyk_17_49,Загальний місцевий суд,суддя мелітопольського міськрайонного суду запорізької області,;;;,Mitsubishi Outlander;;;;,15196.0,182352.0,0.18,20058.0,18579.0,38637.0,776.0,суди,0.4,superlow,medium,superlow
2930,Кучеренко Микола Зауревич,vulyk_11_141,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник спеціалізованої державної інспекції з обслуговування великих платників у м. одесі міжрегіонального головного управління міндоходів.,Volkswagen Touareg;;,;;;,50629.0,607548.0,0.61,8242.0,0.0,8242.0,130.0,митники,6.1,low,superlow,medium
